제목,리뷰,평점
어벤져스: 엔드게임,킬링타임 잘했음. 3시간 후딱감 ,9
어벤져스: 엔드게임,마지막이니까 10점  땡땡땡 ,10
어벤져스: 엔드게임,또 영화 보고 싶어요~~^^ ,10
나의 특별한 형제,태생적으로 십상남자인 내가 한 영화에서 다섯번 눈물고였다. 사실 그중 한번은 눈물이 흘렀다. 올해 본 영화중 최고입니다. 주인공 둘다 너무 연기를 잘했어요. 연말에 시상식 결과 좋을거에요. ,10
어벤져스: 엔드게임,10점 만점에 10점. 정말 재밌게 봤다. ,10
어벤져스: 엔드게임,말해뭐함..두번봐도 눈물 나더라ㅜㅜ ,10
어벤져스: 엔드게임,역쉬 기대를 저버리지 않는 영화입니다~ ,10
어벤져스: 엔드게임,3000만큼 사랑해ㅠㅠㅠ ,10
어벤져스: 엔드게임,마무리 어케 하려나 했는데 잘 마무리 했네요 ,10
어벤져스: 엔드게임,3000만큼 사랑해~ ,10
어벤져스: 엔드게임,3시간이 전혀 느껴지지않았던...! ,10
왓칭,줄거리가 당채 황당한 이야기. 영화 전체가 재미가 없다로 단정 ,1
생일,이미 정치집단화 되버려서.. 순수하게 공감을 못하게되버린 슬픈 현실 ,1
어벤져스: 엔드게임,추억으로 남을 시리즈 영화인거 같네요. ,8
어벤져스: 엔드게임,"좋은 마지막. 영화관을 찾는데, 마치 학창시절 졸업식날 아침 같은 기분이 들었어요. 내 청춘에 한 페이지 같던 나의 영웅들! 고마웠어요~ 마지막편이 저는 가장 좋았어요 ",10
어벤져스: 엔드게임,"캡틴,아이언맨 이 둘을 위한 영화같음 개존멋 ",10
어벤져스: 엔드게임,흑인과 여자 강조 신선했네요 ,10
어벤져스: 엔드게임,어벤져스1은 우와우와우와 하며 3일을 흥분했고 어벤져스2는 역시 명불허전!!! 하는 느낌이었고 어벤져스3는 와 미쳤다.. 하는 느낌인데 이거는 죽을때까지 잊지못할 영화일거같다 ,10
어벤져스: 엔드게임,좀만잘했으면 좋은영화로남을뻔했는데 갑툭튀한 캡마가 다 패는거 보고 어이가 없더라. 특히 지난편 캡틴이랑 똑같은구도로 타노스 팔 막는데 압도하는거보고 캡마 띄워주려고 캡틴 무시하는건가란 생각까지들었다 샤잠이 훨씬재밌더라. 그나마 캡틴 하이드라덕에 2점줌 ,2
나의 특별한 형제,재미있고 또 감동적입니다!!! 보고 나니까 마음이 따뜻해지는 영화입니다 ,10
어벤져스: 엔드게임,3000만큼 사랑해ㅠㅠㅠ ,10
어벤져스: 엔드게임,꼭 3시간으로 만들필요가 있나하네여초반1시간하고 마지막 20분이지루함 ,2
장난스런 키스,왕대륙이요.. 진짜 진지하게 너무 잘생겼어요애들이랑 영화보는데 와.. 얼굴 때문에 울어본건 처음이에요 그리고요 언니 너무너무너무 이뿌구여 스토리나 줄거리 짱 좋아요 그리고 좀 빡치는 장면이 있어 감정이입 지대로에요!! 완전 추천해요 특히 로코 매니아 ,10
어벤져스: 엔드게임,누가이런내용을상상이나했는가볼수있게해주셔서 감사합니다 ,10
어벤져스: 엔드게임,재밌는데 너무 깁니다 ㅜ ,10
성냥팔이 소녀의 재림,예술영화 못보는 사람은 보지마세요 이런 평가 받을 영화는 절대 아닌듯 컴퓨터게임에 대한 풍자로 가득한 시대적인 영화 ,9
자전차왕 엄복동,ㅋㅋㅋ 극한직업 이나 엄복동이나 다를게뭐냐ㅋㅋㅋ 할말이없다 우리나라 국민들... 7번방 선물 신과함께 극한직업 이런게 히트치는 이유는 뭘까? 국민 수준을 탓해라 내눈엔 신파극은 죄다 쓰레기 영화들 ,1
"스탠바이, 웬디",중간에 웬디가 험한 일 당할까봐 조마조마 했네 ,8
어벤져스: 엔드게임,하아..아이언맨 돌려줘 ,10
샤잠!,디씨 영화 안보다가 볼 영화 없어서 봤었는데다시 한번 다짐하게 해주는 영화였음 ,6
어벤져스: 엔드게임,이 영화비로 이 정도 스케일 영화 봐도되나? 개이득 ,10
나의 특별한 형제,이광수님 너무 좋아하는데 영화 보고 더 좋아졌어요 귀요미 장애인의 대한 인식과 편견을 바꿀 수 있는 영화였습니다 (영화 보면서 라면 너무 먹고 시포써요...) ,10
나의 특별한 형제,너무 무겁지도 않고 웃기고 슬프고 재밌게 풀어낸 이야기 내용이 내용인데 지루하지않아서 놀랐다 9점 ,10
어벤져스: 엔드게임,역시 마블이였음 인생영화입니다 ,10
어벤져스: 엔드게임,스토리가 탄탄합니다. 상황전개가 체계적입니다 ,6
어벤져스: 엔드게임,정말앤드맞나요? 궁금하네요 ,8
어벤져스: 엔드게임,아빠와 아들에게 오붓한시간을~ ㅋ 너무 재밌었다며 만점짜리라하네요 ,10
어벤져스: 엔드게임,이런 영화를 볼수있어서 감사하고 내생에 최고의 작품.. ,10
어벤져스: 엔드게임,3000번 볼게요 너무재밋엄ㅅ어여 ,10
어벤져스: 엔드게임,감동 그 자체였습니다ㅠㅠ ,10
캡틴 마블,캡틴 마블의 탄생을 그린 영화.. 라지만.. 기억에 남는 게 그다지없다.. 생각보다 별 거 없는 영화 ,6
프렌즈: 둥지탈출,9살딸아이와 같이볼수 있는 영화가 그시간대에이거밖에없어서 별 기대없이봤는데 내용도 좋고 너무재밌었어요 딸아이도 너무재밌다고 또보고싶다하네요 ,10
7년의 밤,평점이 이렇게 낮은이유를 모르겠네요배우들 연기도 좋았고 내용도 극단적이긴하지만 의미하는바는 알겠던데 ,8
